record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1096455873","568727547","-630053733","3168.01","13.399","177.0","11","1",
"1096455874","568726226","-630054512","3181.32","13.119","177.0","11","1",
"1096455875","568724960","-630055347","3194.23","12.923","176.79999999999995","11","1",
"1096455876","568723719","-630056208","3206.97","12.764","176.79999999999995","11","1",
"1096455877","568722519","-630057116","3219.61","12.503","176.79999999999995","11","1",
"1096455878","568721370","-630058012","3231.71","12.242","176.79999999999995","11","1",
"1096455879","568720237","-630058876","3243.52","12.018","176.79999999999995","11","1",
"1096455880","568719122","-630059755","3255.34","11.719","176.79999999999995","11","1",
"1096455881","568718045","-630060604","3266.71","11.439","176.79999999999995","11","1",
"1096455882","568717002","-630061432","3277.72","11.113","176.79999999999995","11","1",
"1096455883","568716006","-630062272","3288.42","10.684","176.79999999999995","11","1",
"1096455884","568715052","-630063071","3298.64","10.245","176.79999999999995","11","1",
"1096455885","568714106","-630063803","3308.6","9.965","176.79999999999995","11","1",
"1096455886","568713198","-630064526","3318.18","9.676","176.79999999999995","11","1",
"1096455887","568712320","-630065246","3327.55","9.368","176.79999999999995","11","1",
"1096455888","568711478","-630065928","3336.5","9.004","176.79999999999995","11","1",
"1096455889","568710653","-630066578","3345.21","8.743","177.0","11","1",
"1096455890","568709847","-630067213","3353.74","8.566","177.0","11","1",
"1096455891","568709063","-630067850","3362.02","8.482","176.79999999999995","11","1",
"1096455892","568708265","-630068447","3370.3","8.388","177.0","11","1",
"1096455893","568707462","-630069016","3378.67","8.248","177.0","11","1",
"1096455894","568706689","-630069570","3386.63","8.08","177.0","11","1",
"1096455895","568705897","-630070022","3394.57","7.912","177.0","11","1",
"1096455896","568705096","-630070394","3402.42","7.875","177.0","11","1",
"1096455897","568704299","-630070666","3410.07","7.828","177.20000000000005","11","1",
"1096455898","568703524","-630070900","3417.22","7.67","177.20000000000005","11","1",
"1096455899","568702678","-630071052","3425.09","7.782","177.20000000000005","11","1",
"1096455900","568701810","-630071195","3433.31","7.847","177.20000000000005","11","1",
"1096455901","568700976","-630071330","3441.14","7.791","177.20000000000005","11","1",
"1096455902","568700127","-630071458","3449.12","7.866","177.20000000000005","11","1",
"1096455903","568699286","-630071573","3456.94","7.884","177.20000000000005","11","1",
"1096455904","568698444","-630071629","3464.81","7.754","177.20000000000005","11","1",
"1096455905","568697591","-630071687","3472.82","7.838","177.20000000000005","11","1",
"1096455906","568696759","-630071751","3480.49","7.791","177.20000000000005","11","1",
"1096455907","568695873","-630071791","3488.83","8.034","177.39999999999998","11","1",
"1096455908","568695037","-630071809","3496.72","7.819","177.39999999999998","11","1",
"1096455909","568694207","-630071802","3504.33","7.912","177.39999999999998","11","1",
"1096455910","568693344","-630071805","3512.33","7.959","177.39999999999998","11","1",
"1096455911","568692469","-630071759","3520.55","7.996","177.39999999999998","11","1",
"1096455912","568691597","-630071797","3528.74","8.108","177.39999999999998","11","1",
"1096455913","568690720","-630071837","3536.9","8.267","177.39999999999998","11","1",
"1096455914","568689827","-630071794","3545.23","8.435","177.39999999999998","11","1",
"1096455915","568688912","-630071720","3553.76","8.696","177.60000000000002","11","1",
"1096455916","568687970","-630071612","3562.5","8.939","177.60000000000002","11","1",
"1096455917","568686989","-630071472","3571.82","9.153","177.60000000000002","11","1",
"1096455918","568686001","-630071330","3580.91","9.48","177.60000000000002","11","1",
"1096455919","568684967","-630071159","3590.54","9.601","177.60000000000002","11","1",
"1096455920","568683900","-630071017","3600.62","9.713","177.39999999999998","11","1",
"1096455921","568682855","-630070858","3610.42","9.741","177.60000000000002","11","1",
"1096455922","568681812","-630070707","3620.21","9.713","177.39999999999998","11","1",
"1096455923","568680780","-630070504","3629.86","9.667","177.39999999999998","11","1",
"1096455924","568679743","-630070271","3639.69","9.601","177.39999999999998","11","1",
"1096455925","568678733","-630070042","3649.3","9.471","177.39999999999998","11","1",
"1096455926","568677755","-630069842","3658.51","9.312","177.39999999999998","11","1",
"1096455927","568676796","-630069621","3667.45","9.153","177.60000000000002","11","1",
"1096455928","568675834","-630069379","3676.61","9.004","177.60000000000002","11","1",
"1096455929","568674886","-630069179","3685.51","8.985","177.60000000000002","11","1",
"1096455930","568673935","-630068980","3694.49","9.013","177.60000000000002","11","1",
"1096455931","568672968","-630068820","3703.46","9.219","177.60000000000002","11","1",
"1096455932","568671963","-630068641","3712.97","9.405","177.60000000000002","11","1",
"1096455933","568670954","-630068472","3722.4","9.592","177.60000000000002","11","1",
"1096455934","568669925","-630068250","3732.02","9.741","177.60000000000002","11","1",
"1096455935","568668857","-630068055","3742.07","9.909","177.60000000000002","11","1",
"1096455936","568667787","-630067831","3752.15","10.077","177.60000000000002","11","1",
"1096455937","568666698","-630067595","3762.35","10.329","177.79999999999995","11","1",
"1096455938","568665588","-630067321","3772.91","10.46","177.79999999999995","11","1",
"1096455939","568664469","-630067026","3783.49","10.637","177.79999999999995","11","1",
"1096455940","568663345","-630066698","3794.12","10.712","177.79999999999995","11","1",
"1096455941","568662202","-630066346","3804.89","10.814","177.79999999999995","11","1",
"1096455942","568660989","-630065991","3816.51","11.122","177.79999999999995","11","1",
"1096455943","568659747","-630065644","3828.3","11.645","177.79999999999995","11","1",
"1096455944","568658442","-630065231","3840.73","12.382","177.79999999999995","11","1",
"1096455945","568657086","-630064792","3853.64","12.97","177.79999999999995","11","1",
"1096455946","568655701","-630064299","3866.98","13.25","177.60000000000002","11","1",
"1096455947","568654323","-630063792","3880.05","13.334","177.60000000000002","11","1",
"1096455948","568652906","-630063237","3893.85","13.296","177.60000000000002","11","1",
"1096455949","568651525","-630062589","3907.44","13.39","177.60000000000002","11","1",
"1096455950","568650197","-630061852","3920.63","13.287","177.39999999999998","11","1",
