record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556651","1222.27","41.60000000000002","150","15","1","25.56","567547150","-628849780","4.348",
"1082556652","1226.55","41.799999999999955","150","15","1","25.56","567546720","-628849533","4.255",
"1082556653","1230.97","41.799999999999955","150","15","1","25.56","567546284","-628849293","4.227",
"1082556654","1234.99","42.200000000000045","150","15","1","25.56","567545871","-628849069","4.189",
"1082556655","1239.25","42.60000000000002","150","14","1","25.56","567545446","-628848839","4.106",
"1082556656","1243.37","43.0","150","15","1","25.56","567545022","-628848631","4.106",
"1082556657","1247.59","43.0","141","14","1","29.19","567544615","-628848338","4.096",
"1082556658","1251.72","43.200000000000045","140","14","1","29.19","567544194","-628848112","4.059",
"1082556659","1256.18","43.200000000000045","140","14","1","29.19","567543758","-628847882","4.04",
"1082556660","1260.07","43.60000000000002","140","14","1","29.19","567543372","-628847611","4.003",
"1082556661","1264.06","43.799999999999955","140","14","1","29.19","567542948","-628847386","4.078",
"1082556662","1268.59","44.200000000000045","140","14","1","29.3","567542488","-628847178","3.994",
"1082556663","1273.21","44.39999999999998","140","14","1","29.3","567542040","-628846975","3.975",
"1082556664","1277.0","44.60000000000002","139","14","1","29.3","567541645","-628846817","3.938",
"1082556665","1280.82","44.799999999999955","139","14","1","29.3","567541247","-628846632","3.956",
"1082556666","1285.08","45.0","139","14","1","28.19","567540826","-628846423","4.068",
"1082556667","1289.03","45.200000000000045","139","14","1","28.19","567540418","-628846268","4.152",
"1082556668","1293.11","45.799999999999955","139","14","1","28.19","567540007","-628846091","4.255",
"1082556669","1297.0","46.200000000000045","139","14","1","28.19","567539613","-628845912","4.255",
"1082556670","1300.74","46.200000000000045","139","14","1","28.19","567539203","-628845745","4.329",
"1082556671","1305.1","46.39999999999998","139","14","1","28.19","567538754","-628845555","4.367",
"1082556672","1309.54","46.39999999999998","138","14","1","27.46","567538298","-628845361","4.479",
"1082556673","1313.94","46.799999999999955","138","14","1","27.46","567537843","-628845153","4.563",
"1082556674","1318.45","46.799999999999955","138","14","1","27.46","567537362","-628844968","4.675",
"1082556675","1323.47","47.200000000000045","137","14","1","27.46","567536850","-628844742","4.796",
"1082556676","1328.52","47.39999999999998","137","14","1","27.46","567536337","-628844484","4.983",
"1082556677","1333.76","47.60000000000002","137","14","1","26.18","567535814","-628844201","5.085",
"1082556678","1338.74","47.60000000000002","136","14","1","26.18","567535289","-628843931","5.207",
"1082556679","1344.16","47.799999999999955","136","14","1","26.18","567534712","-628843684","5.253",
"1082556680","1350.44","47.799999999999955","136","14","1","26.18","567534101","-628843395","5.346",
"1082556681","1356.1","47.799999999999955","136","14","1","26.18","567533532","-628843112","5.477",
"1082556682","1361.63","48.200000000000045","136","14","1","26.11","567532986","-628842788","5.458",
"1082556683","1367.24","48.39999999999998","136","14","1","26.11","567532410","-628842532","5.57",
"1082556684","1372.94","48.39999999999998","136","14","1","26.11","567531824","-628842300","5.72",
"1082556685","1378.48","48.39999999999998","136","14","1","26.11","567531238","-628842061","5.822",
"1082556686","1384.48","48.39999999999998","136","14","1","26.86","567530630","-628841833","5.785",
"1082556687","1390.0","48.799999999999955","136","14","1","26.86","567530054","-628841619","5.757",
"1082556688","1395.39","49.0","136","14","1","26.86","567529472","-628841409","5.729",
"1082556689","1401.63","49.0","136","14","1","26.86","567528832","-628841158","5.944",
"1082556690","1407.62","49.0","136","14","1","26.86","567528203","-628840925","6.0",
"1082556691","1413.77","49.0","136","14","1","26.86","567527564","-628840705","5.897",
"1082556692","1419.71","49.0","135","14","1","27.75","567526963","-628840442","5.626",
"1082556693","1425.19","49.0","135","14","1","27.75","567526389","-628840260","5.458",
"1082556694","1430.4","49.0","134","14","1","27.75","567525831","-628840127","5.309",
"1082556695","1435.9","49.0","134","14","1","27.75","567525247","-628840024","5.524",
"1082556696","1441.12","49.0","134","14","1","27.75","567524670","-628839944","5.477",
"1082556697","1446.91","49.0","134","14","1","27.75","567524061","-628839876","5.393",
"1082556698","1452.37","49.0","134","14","1","27.75","567523474","-628839800","5.337",
"1082556699","1457.85","49.39999999999998","134","14","1","27.75","567522892","-628839735","5.225",
"1082556700","1463.11","49.39999999999998","134","14","1","27.75","567522335","-628839588","5.123",
"1082556701","1468.54","49.799999999999955","134","14","1","27.75","567521804","-628839229","5.225",
"1082556702","1473.86","49.799999999999955","134","14","1","27.75","567521334","-628838761","5.244",
"1082556703","1478.61","49.799999999999955","134","14","1","27.75","567520877","-628838395","4.945",
"1082556704","1483.12","50.200000000000045","134","14","1","27.75","567520446","-628838152","4.189",
"1082556705","1486.41","50.39999999999998","134","14","1","27.75","567520168","-628837897","3.098",
"1082556706","1488.08","50.60000000000002","134","14","1","27.75","567520074","-628837674","1.922",
"1082556707","1489.13","50.60000000000002","134","14","1","27.75","567519982","-628837539","1.549",
"1082556708","1490.0","50.60000000000002","134","14","1","27.75","567519907","-628837424","1.344",
"1082556709","1490.92","50.60000000000002","134","14","1","27.75","567519831","-628837323","1.008",
"1082556710","1491.82","50.60000000000002","134","13","1","27.75","567519753","-628837223","0.746",
"1082556711","1491.95","50.60000000000002","134","14","1","27.75","567519727","-628837204","0.0",
"1082556712","1491.95","50.60000000000002","134","14","0","27.75","567519721","-628837231","0.0",
"1082556739","1491.95","49.0","74","13","1","20.87","567519314","-628836837","2.463",
"1082556740","1495.25","49.0","73","13","1","19.03","567519053","-628836476","3.536",
"1082556741","1499.63","49.0","74","13","1","19.03","567518702","-628835999","4.423",
"1082556742","1505.14","49.0","77","13","1","19.03","567518292","-628835382","5.067",
"1082556743","1510.79","49.0","80","13","1","19.03","567517900","-628834682","5.365",
"1082556744","1516.86","49.0","82","13","1","20.56","567517565","-628833879","5.524",
"1082556745","1522.55","49.0","86","13","1","20.56","567517248","-628833103","5.514",
"1082556746","1528.47","49.0","88","13","1","20.56","567516971","-628832276","5.608",
"1082556747","1534.16","49.39999999999998","88","13","1","20.56","567516671","-628831515","5.542",
"1082556748","1539.13","49.39999999999998","91","13","1","20.56","567516356","-628830824","5.458",
"1082556749","1544.56","49.39999999999998","94","14","1","20.79","567515876","-628830299","5.356",
"1082556750","1549.79","49.39999999999998","95","13","1","20.79","567515323","-628830060","5.374",
"1082556751","1555.48","49.39999999999998","96","14","1","20.79","567514696","-628830064","5.738",
"1082556752","1561.34","49.39999999999998","96","14","1","20.79","567514081","-628830352","5.888",
"1082556753","1567.95","49.60000000000002","95","13","1","20.79","567513426","-628830753","6.214",
"1082556754","1575.11","49.60000000000002","95","13","1","20.95","567512735","-628831213","6.634",
"1082556755","1582.2","49.799999999999955","95","13","1","20.95","567512050","-628831702","6.914",
"1082556756","1589.47","49.799999999999955","95","14","1","20.95","567511354","-628832205","7.063",
"1082556757","1596.85","49.799999999999955","95","13","1","20.95","567510665","-628832743","7.147",
"1082556758","1603.98","50.0","95","13","1","20.95","567509994","-628833258","7.278",
"1082556759","1610.86","50.200000000000045","95","13","1","20.95","567509336","-628833790","7.287",
"1082556760","1618.22","50.200000000000045","95","13","1","20.95","567508676","-628834434","7.353",
"1082556761","1625.53","50.39999999999998","95","13","1","20.95","567508001","-628835024","7.325",
"1082556762","1632.92","50.39999999999998","95","13","1","20.95","567507317","-628835628","7.362",
"1082556763","1640.47","50.60000000000002","95","13","1","20.95","567506622","-628836216","7.39",
"1082556764","1647.66","50.799999999999955","95","13","1","20.95","567505953","-628836795","7.399",
"1082556765","1655.05","51.0","95","13","1","20.95","567505268","-628837381","7.474",
"1082556766","1662.42","51.0","95","13","1","20.95","567504572","-628837950","7.595",
"1082556767","1670.14","51.0","95","13","1","20.95","567503849","-628838538","7.679",
"1082556768","1677.85","51.39999999999998","95","13","1","20.95","567503120","-628839121","7.744",
"1082556769","1685.71","51.39999999999998","95","13","1","20.95","567502369","-628839682","7.838",
"1082556770","1693.58","51.39999999999998","95","13","1","20.95","567501600","-628840206","7.884",
"1082556771","1701.6","51.60000000000002","95","13","1","20.95","567500824","-628840759","8.015",
"1082556772","1709.65","51.60000000000002","95","13","1","20.95","567500039","-628841287","8.09",
"1082556773","1717.8","51.60000000000002","95","13","1","20.95","567499218","-628841774","8.388",
"1082556774","1726.41","51.60000000000002","95","13","1","20.95","567498327","-628842219","8.724",
"1082556775","1735.8","51.60000000000002","95","13","1","20.95","567497363","-628842658","9.097",
"1082556776","1745.63","51.39999999999998","95","13","1","20.95","567496355","-628843070","9.452",
"1082556777","1755.43","51.39999999999998","95","13","1","20.95","567495343","-628843486","9.807",
"1082556778","1765.49","51.0","112","13","1","19.24","567494305","-628843925","10.012",
"1082556779","1775.98","50.60000000000002","114","13","1","19.24","567493228","-628844314","10.208",
"1082556780","1786.44","50.200000000000045","113","13","1","19.24","567492151","-628844767","10.46",
"1082556781","1797.14","49.39999999999998","114","13","1","19.24","567491057","-628845231","10.581",
"1082556782","1807.88","49.0","114","13","1","19.24","567489955","-628845599","10.665",
"1082556783","1817.86","48.39999999999998","114","13","1","19.24","567488889","-628845914","10.628",
"1082556784","1828.2","47.799999999999955","114","13","1","19.24","567487783","-628846214","10.702",
"1082556785","1839.19","47.60000000000002","114","13","1","19.24","567486639","-628846604","10.898",
"1082556786","1850.23","47.200000000000045","114","13","1","19.24","567485481","-628847012","11.281",
"1082556787","1861.78","47.0","114","13","1","19.24","567484278","-628847483","11.673",
"1082556788","1873.8","46.39999999999998","115","13","1","19.24","567483051","-628848032","11.953",
"1082556789","1885.8","45.799999999999955","115","13","1","19.24","567481823","-628848582","12.093",
"1082556790","1897.85","45.0","115","13","1","19.24","567480592","-628849185","12.242",
