record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084816145","1792.55","54.799999999999955","17","1","567514986","-628829748","6.681",
"1084816146","1799.01","54.799999999999955","17","1","567514286","-628829896","6.765",
"1084816147","1805.79","54.60000000000002","17","1","567513615","-628830379","6.821",
"1084816148","1813.25","54.60000000000002","17","1","567512912","-628830899","6.951",
"1084816149","1820.55","54.60000000000002","17","1","567512225","-628831441","7.101",
"1084816150","1827.6","54.60000000000002","17","1","567511512","-628831843","7.259",
"1084816151","1834.88","54.60000000000002","17","1","567510802","-628832268","7.231",
"1084816152","1841.9","54.60000000000002","17","1","567510135","-628832779","7.222",
"1084816153","1848.52","54.60000000000002","17","1","567509470","-628833235","7.213",
"1084816154","1855.88","54.60000000000002","17","1","567508747","-628833699","7.297",
"1084816155","1863.33","54.799999999999955","16","1","567508046","-628834252","7.269",
"1084816156","1870.57","54.799999999999955","17","1","567507355","-628834793","7.166",
"1084816157","1877.88","54.799999999999955","16","1","567506655","-628835313","7.091",
"1084816158","1885.33","54.799999999999955","17","1","567505955","-628835867","7.147",
"1084816159","1892.48","54.799999999999955","16","1","567505279","-628836393","7.11",
"1084816160","1899.64","55.0","16","1","567504605","-628836916","7.129",
"1084816161","1906.76","55.0","16","1","567503956","-628837497","7.11",
"1084816162","1913.53","55.0","16","1","567503314","-628838065","7.157",
"1084816163","1921.08","55.200000000000045","16","1","567502615","-628838656","7.203",
"1084816164","1928.67","55.200000000000045","16","1","567501910","-628839186","7.259",
"1084816165","1935.64","55.39999999999998","16","1","567501240","-628839676","7.287",
"1084816166","1942.76","55.39999999999998","16","1","567500559","-628840207","7.465",
"1084816167","1950.35","55.39999999999998","16","1","567499824","-628840725","7.716",
"1084816168","1958.01","55.39999999999998","16","1","567499065","-628841200","7.987",
"1084816169","1966.01","55.39999999999998","16","1","567498254","-628841678","8.407",
"1084816170","1974.74","55.39999999999998","16","1","567497375","-628842186","8.892",
"1084816171","1984.13","55.200000000000045","16","1","567496429","-628842707","9.359",
"1084816172","1993.99","55.0","16","1","567495425","-628843176","9.723",
"1084816173","2004.11","54.799999999999955","16","1","567494390","-628843610","10.021",
"1084816174","2014.41","54.39999999999998","16","1","567493323","-628844080","10.32",
"1084816175","2025.3","53.799999999999955","16","1","567492202","-628844583","10.544",
"1084816176","2036.53","53.39999999999998","16","1","567491050","-628845087","10.73",
"1084816177","2047.63","53.0","16","1","567489893","-628845473","10.786",
"1084816178","2058.56","52.60000000000002","16","1","567488751","-628845793","10.889",
"1084816179","2069.63","52.0","16","1","567487591","-628846058","11.02",
"1084816180","2080.48","51.39999999999998","16","1","567486427","-628846393","11.271",
"1084816181","2092.13","51.0","16","1","567485236","-628846931","11.635",
"1084816182","2103.78","50.799999999999955","16","1","567484020","-628847486","11.981",
"1084816183","2116.3","50.0","16","1","567482754","-628848116","12.242",
"1084816184","2128.59","49.39999999999998","16","1","567481495","-628848692","12.279",
"1084816185","2140.91","48.60000000000002","16","1","567480226","-628849226","12.307",
"1084816186","2153.24","48.0","16","1","567478940","-628849736","12.456",
"1084816187","2166.0","47.200000000000045","16","1","567477629","-628850169","12.54",
"1084816188","2177.96","46.60000000000002","16","1","567476380","-628850639","12.447",
"1084816189","2190.26","45.799999999999955","16","1","567475139","-628851137","12.251",
"1084816190","2201.32","45.0","16","1","567473972","-628851677","11.943",
"1084816191","2213.11","44.39999999999998","16","1","567472761","-628852279","11.719",
"1084816192","2224.83","43.799999999999955","16","1","567471562","-628852830","11.477",
"1084816193","2236.06","43.0","16","1","567470412","-628853347","11.132",
"1084816194","2247.13","42.39999999999998","16","1","567469305","-628853911","10.805",
"1084816195","2257.36","41.799999999999955","16","1","567468249","-628854414","10.544",
"1084816196","2267.26","41.60000000000002","16","1","567467251","-628854903","9.937",
"1084816197","2276.46","41.39999999999998","16","1","567466308","-628855388","9.48",
"1084816198","2285.54","41.200000000000045","16","1","567465375","-628855862","9.172",
"1084816199","2294.7","41.200000000000045","16","1","567464446","-628856344","8.995",
"1084816200","2303.76","41.0","16","1","567463540","-628856779","8.771",
"1084816201","2312.45","40.799999999999955","16","1","567462658","-628857197","8.752",
"1084816202","2321.23","40.60000000000002","16","1","567461769","-628857660","8.929",
"1084816203","2329.97","40.39999999999998","16","1","567460875","-628858104","8.995",
"1084816204","2338.61","39.799999999999955","16","1","567459991","-628858544","8.892",
"1084816205","2347.41","39.200000000000045","16","1","567459067","-628858908","9.013",
"1084816206","2356.72","38.799999999999955","16","1","567458092","-628859222","9.368",
"1084816207","2366.36","38.39999999999998","16","1","567457105","-628859618","9.62",
"1084816208","2376.01","37.39999999999998","16","1","567456096","-628860057","10.096",
"1084816209","2386.16","37.0","16","1","567455036","-628860469","10.404",
"1084816210","2396.35","36.0","16","1","567453973","-628860906","10.338",
"1084816211","2406.23","35.0","16","1","567452961","-628861336","9.573",
"1084816212","2414.87","33.799999999999955","16","1","567452032","-628861684","8.706",
"1084816213","2423.93","32.799999999999955","16","1","567451104","-628861994","8.006",
"1084816214","2432.62","31.799999999999955","16","1","567450235","-628862397","7.679",
"1084816215","2439.94","30.600000000000023","16","1","567449500","-628862705","6.849",
"1084816216","2445.74","29.600000000000023","16","1","567448892","-628862972","5.962",
"1084816217","2451.62","28.799999999999955","16","1","567448302","-628863219","5.477",
"1084816218","2457.36","28.200000000000045","16","1","567447711","-628863483","5.85",
"1084816219","2463.14","27.799999999999955","16","1","567447107","-628863774","6.317",
